"FAOSTATCODE";"COMMODITY";"DEFINITION";"DerivedCode"
"0149";"ROOTS AND TUBERS NES
Including inter alia: arracacha (Arracacoa xanthorrhiza);
arrowroot (Maranta arundinacea);
chufa (Cyperus esculentus);
sago palm (Metroxylon spp.);
oca and ullucu (Oxalis tuberosa and Ullucus tuberosus);
yam bean, jicama  (Pachyrxhizus erosus, P. angulatus);
mashua (Tropaeolum tuberosum);
Jerusalem artichoke, topinambur (Helianthus tuberosus)";"Other tubers, roots or rhizomes, fresh, that are not identified
separately because of their minor relevance at the international
level. Because of their limited local importance, some countries
report roots and tubers under this commodity heading that are
classified individually by FAO.";0
"0150";"Flour of Roots and Tubers nes";"Flour and meal produced from roots and tubers o/t potatoes and
cassava.";149
"0151";"Roots and Tubers, Dried nes";"Other tubers, roots or rizhomes, dried, o/t potatoes and cassava.";149
"0156";"SUGAR CANE
Saccharum officinarum";"In some producing countries, marginal quantities of sugar cane are
consumed, either directly as food or in the form of juice.";0
"0158";"Cane Sugar";"A non-refined, crystallized material derived from the juices of
sugar-cane stalk and consisting either wholly or essentially of
sucrose.";156
"0159";"Beet Sugar";"A non-refined, crystallized material derived from the juices extracted
from the root of the sugar beet and consisting either wholly or
essentially of sucrose.";156
"0162";"Sugar, Raw Centrifugal";"The sum of codes 0158 and 0159. Processed further to obtain refined
sugar.";156
"0164";"Sugar, Refined";"Production covers domestic production, plus or minus imports and/or
exports of raw centrifugal sugar in terms of refined sugar.";156
"0163";"Sugar, Non-Centrifugal";"Generally derived from sugar cane through traditional methods without
centrifugation.";156
"0165";"Molasses";"A by-product of the extraction or refining of beet or cane sugar or of
the production of fructose from maize. Used for feed, food, industrial
alcohol, alcoholic beverages and ethanol.";156
"0169";"Beet Pulp";"See Chapter 11.";156
"0170";"Bagasse";"See Chapter 11.";156
"0629";"Beet Tops";"See Chapter 11.";156
"0630";"Cane Tops";"See Chapter 11.";156
"0157";"SUGAR BEET
Beta vulgaris var. altissima";"In some producing countries, marginal quantities are consumed, either
directly as food or in the preparation of jams.";0
"0158";"Cane Sugar";"A non-refined, crystallized material derived from the juices of
sugar-cane stalk and consisting either wholly or essentially of
sucrose.";157
"0159";"Beet Sugar";"A non-refined, crystallized material derived from the juices extracted
from the root of the sugar beet and consisting either wholly or
essentially of sucrose.";157
"0162";"Sugar, Raw Centrifugal";"The sum of codes 0158 and 0159.
Processed further to obtain refined sugar.";157
"0164";"Sugar, Refined";"Production covers domestic production, plus or minus imports and/or
exports of raw centrifugal sugar in terms of refined sugar.";157
"0163";"Sugar, Non-Centrifugal";"Generally derived from sugar cane through traditional methods without
centrifugation.";157
"0165";"Molasses";"A by-product of the extraction or refining of beet or cane sugar or of
the production of fructose from maize. Used for feed, food, industrial
alcohol, alcoholic beverages and ethanol.";157
"0169";"Beet Pulp";"See Chapter 11.";157
"0170";"Bagasse";"See Chapter 11.";157
"0629";"Beet Tops";"See Chapter 11.";157
"0630";"Cane Tops";"See Chapter 11.";157
"0161";"SUGAR CROPS NES
Including inter alia:
sugar maple (Acer saccharum);
sweet sorghum (Sorghum saccharatum);
sugar palm (Arenga saccharifera)";"Includes minor sugar crops of local importance. In the case of saps,
production is to be expressed in liquid equivalent.";0
"0160";"Maple Sugar and Syrups";"Maple syrup is produced by atmospheric boiling of maple sap in an
open-pan evaporator. Continuing the evaporation process until the
syrup crystalizes yields maple sugar.";161
